                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.22732,                0.70153,                      1,                0.84764,                 0.0748,                 0.0028,                 0.0028
                      1,                0.18261,                 0.7342,                      1,                0.79252,               0.048347,              0.0053473,              0.0053473
                      2,                  0.172,                0.76471,                      1,                0.75402,               0.021536,              0.0075357,              0.0075357
                      3,                0.14563,                0.85621,                      1,                 0.6963,              0.0081437,              0.0081437,              0.0081437
                      4,                0.10247,                 0.8976,                      1,                0.62534,              0.0081437,              0.0081437,              0.0081437
                      5,                0.06796,                0.85621,                      1,                0.65216,               0.007525,               0.007525,               0.007525
                      6,                0.04756,                0.98911,                      1,                0.52165,              0.0069063,              0.0069063,              0.0069063
                      7,                0.04352,                0.96296,                      1,                0.53129,              0.0062875,              0.0062875,              0.0062875
                      8,                0.04113,                0.96514,                      1,                0.53357,              0.0056688,              0.0056688,              0.0056688
                      9,                0.03755,                0.94118,                      1,                 0.5497,                0.00505,                0.00505,                0.00505
                     10,                0.03143,                0.96078,                      1,                0.53975,              0.0044313,              0.0044313,              0.0044313
                     11,                0.02142,                0.99564,                      1,                0.50812,              0.0038125,              0.0038125,              0.0038125
                     12,                0.02427,                0.99346,                      1,                0.50918,              0.0031938,              0.0031938,              0.0031938
                     13,                0.01177,                0.99564,                      1,                 0.5036,               0.002575,               0.002575,               0.002575
                     14,                0.01799,                0.99782,                      1,                0.50035,              0.0019563,              0.0019563,              0.0019563
                     15,                0.00892,                0.99782,                      1,                0.49845,              0.0013375,              0.0013375,              0.0013375
